study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB12469	SAMEA4028764	ERS1199874	ERX1544981	ERR1473834	29151	Osmerus eperlanus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/004/ERR1473834/ERR1473834_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/004/ERR1473834/ERR1473834_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/004/ERR1473834/ERR1473834_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/004/ERR1473834/ERR1473834_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473834/2_Index_23.54_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473834/2_Index_23.54_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473834/2_Index_23.54_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473834/2_Index_23.54_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR147/004/ERR1473834	ftp.sra.ebi.ac.uk/vol1/err/ERR147/004/ERR1473834		
PRJEB12469	SAMEA4028765	ERS1199875	ERX1544982	ERR1473835	473354	Borostomias antarcticus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/005/ERR1473835/ERR1473835_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/005/ERR1473835/ERR1473835_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/005/ERR1473835/ERR1473835_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/005/ERR1473835/ERR1473835_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473835/HI.0870.001.Index_2.fish_65_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473835/HI.0870.001.Index_2.fish_65_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473835/HI.0870.001.Index_2.fish_65_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473835/HI.0870.001.Index_2.fish_65_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR147/005/ERR1473835	ftp.sra.ebi.ac.uk/vol1/err/ERR147/005/ERR1473835		
PRJEB12469	SAMEA4028766	ERS1199876	ERX1544983	ERR1473836	1784818	Parasudis fraserbrunneri	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/006/ERR1473836/ERR1473836_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/006/ERR1473836/ERR1473836_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/006/ERR1473836/ERR1473836_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/006/ERR1473836/ERR1473836_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473836/7_Index_22.42_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473836/7_Index_22.42_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473836/7_Index_22.42_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473836/7_Index_22.42_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR147/006/ERR1473836	ftp.sra.ebi.ac.uk/vol1/err/ERR147/006/ERR1473836		
PRJEB12469	SAMEA4028767	ERS1199877	ERX1544984	ERR1473837	1263181	Guentherus altivela	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/007/ERR1473837/ERR1473837_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/007/ERR1473837/ERR1473837_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/007/ERR1473837/ERR1473837_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/007/ERR1473837/ERR1473837_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473837/1_Index_20.50_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473837/1_Index_20.50_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473837/1_Index_20.50_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473837/1_Index_20.50_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR147/007/ERR1473837	ftp.sra.ebi.ac.uk/vol1/err/ERR147/007/ERR1473837		
PRJEB12469	SAMEA4028768	ERS1199878	ERX1544985	ERR1473838	125796	Benthosema glaciale	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/008/ERR1473838/ERR1473838_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/008/ERR1473838/ERR1473838_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/008/ERR1473838/ERR1473838_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/008/ERR1473838/ERR1473838_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473838/HI.0870.002.Index_2.fish_66_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473838/HI.0870.002.Index_2.fish_66_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473838/HI.0870.002.Index_2.fish_66_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473838/HI.0870.002.Index_2.fish_66_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR147/008/ERR1473838	ftp.sra.ebi.ac.uk/vol1/err/ERR147/008/ERR1473838		
PRJEB12469	SAMEA4028769	ERS1199879	ERX1544986	ERR1473839	81385	Polymixia japonica	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/009/ERR1473839/ERR1473839_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/009/ERR1473839/ERR1473839_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/009/ERR1473839/ERR1473839_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/009/ERR1473839/ERR1473839_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473839/6_Index_16.24_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473839/6_Index_16.24_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473839/6_Index_16.24_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473839/6_Index_16.24_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR147/009/ERR1473839	ftp.sra.ebi.ac.uk/vol1/err/ERR147/009/ERR1473839		
PRJEB12469	SAMEA4028770	ERS1199880	ERX1544987	ERR1473840	143327	Percopsis transmontana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/000/ERR1473840/ERR1473840_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/000/ERR1473840/ERR1473840_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/000/ERR1473840/ERR1473840_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/000/ERR1473840/ERR1473840_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473840/7_Index-1.26_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473840/7_Index-1.26_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473840/7_Index-1.26_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473840/7_Index-1.26_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR147/000/ERR1473840	ftp.sra.ebi.ac.uk/vol1/err/ERR147/000/ERR1473840		
PRJEB12469	SAMEA4028771	ERS1199881	ERX1544988	ERR1473841	940470	Typhlichthys subterraneus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/001/ERR1473841/ERR1473841_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/001/ERR1473841/ERR1473841_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/001/ERR1473841/ERR1473841_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/001/ERR1473841/ERR1473841_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473841/7_Index-3.27_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473841/7_Index-3.27_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473841/7_Index-3.27_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473841/7_Index-3.27_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR147/001/ERR1473841	ftp.sra.ebi.ac.uk/vol1/err/ERR147/001/ERR1473841		
PRJEB12469	SAMEA4028772	ERS1199882	ERX1544989	ERR1473842	64108	Zeus faber	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/002/ERR1473842/ERR1473842_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/002/ERR1473842/ERR1473842_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/002/ERR1473842/ERR1473842_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/002/ERR1473842/ERR1473842_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473842/5_Index-8.28_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473842/5_Index-8.28_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473842/5_Index-8.28_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473842/5_Index-8.28_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR147/002/ERR1473842	ftp.sra.ebi.ac.uk/vol1/err/ERR147/002/ERR1473842		
PRJEB12469	SAMEA4028773	ERS1199883	ERX1544990	ERR1473843	1176755	Cyttopsis rosea	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/003/ERR1473843/ERR1473843_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/003/ERR1473843/ERR1473843_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/003/ERR1473843/ERR1473843_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/003/ERR1473843/ERR1473843_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473843/5_Index_13.30_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473843/5_Index_13.30_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473843/5_Index_13.30_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473843/5_Index_13.30_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR147/003/ERR1473843	ftp.sra.ebi.ac.uk/vol1/err/ERR147/003/ERR1473843		
PRJEB12469	SAMEA4028774	ERS1199884	ERX1544991	ERR1473844	409996	Stylephorus chordatus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/004/ERR1473844/ERR1473844_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/004/ERR1473844/ERR1473844_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/004/ERR1473844/ERR1473844_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/004/ERR1473844/ERR1473844_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473844/HI.0870.001.Index_14.fish_80_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473844/HI.0870.001.Index_14.fish_80_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473844/HI.0870.001.Index_14.fish_80_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473844/HI.0870.001.Index_14.fish_80_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR147/004/ERR1473844	ftp.sra.ebi.ac.uk/vol1/err/ERR147/004/ERR1473844		
