study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB29231	SAMEA4984331	ERX2856992	ERR2850379	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/009/ERR2850379/ERR2850379_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/009/ERR2850379/ERR2850379_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850379/AVE14090020101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850379/AVE14090020101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/009/ERR2850379
PRJEB29231	SAMEA4984332	ERX2856993	ERR2850380	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/000/ERR2850380/ERR2850380_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/000/ERR2850380/ERR2850380_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850380/AVE14090030101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850380/AVE14090030101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/000/ERR2850380
PRJEB29231	SAMEA4984333	ERX2856994	ERR2850381	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/001/ERR2850381/ERR2850381_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/001/ERR2850381/ERR2850381_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850381/AVE14090040101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850381/AVE14090040101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/001/ERR2850381
PRJEB29231	SAMEA4984334	ERX2856995	ERR2850382	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/002/ERR2850382/ERR2850382_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/002/ERR2850382/ERR2850382_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850382/AVE14090050101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850382/AVE14090050101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/002/ERR2850382
PRJEB29231	SAMEA4984335	ERX2856996	ERR2850383	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/003/ERR2850383/ERR2850383_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/003/ERR2850383/ERR2850383_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850383/AVE14090060101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850383/AVE14090060101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/003/ERR2850383
PRJEB29231	SAMEA4984336	ERX2856997	ERR2850384	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/004/ERR2850384/ERR2850384_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/004/ERR2850384/ERR2850384_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850384/AVE14090070101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850384/AVE14090070101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/004/ERR2850384
PRJEB29231	SAMEA4984337	ERX2856998	ERR2850385	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/005/ERR2850385/ERR2850385_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/005/ERR2850385/ERR2850385_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850385/AVE14090070102_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850385/AVE14090070102_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/005/ERR2850385
PRJEB29231	SAMEA4984338	ERX2856999	ERR2850386	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/006/ERR2850386/ERR2850386_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/006/ERR2850386/ERR2850386_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850386/AVE14090080101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850386/AVE14090080101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/006/ERR2850386
PRJEB29231	SAMEA4984339	ERX2857000	ERR2850387	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/007/ERR2850387/ERR2850387_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/007/ERR2850387/ERR2850387_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850387/AVE14090090101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850387/AVE14090090101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/007/ERR2850387
PRJEB29231	SAMEA4984340	ERX2857001	ERR2850388	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/008/ERR2850388/ERR2850388_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/008/ERR2850388/ERR2850388_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850388/AVE14090100101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850388/AVE14090100101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/008/ERR2850388
