sample	population	group	sex
Gadmor_avc_spc_1	Gadmor_avc	Gadmor_avc	NA
Gadmor_avc_spc_2	Gadmor_avc	Gadmor_avc	NA
Gadmor_avo_spc_1	Gadmor_avo	Gadmor_avo	NA
Gadmor_avo_spc_2	Gadmor_avo	Gadmor_avo	NA
Gadmor_bat_spc_1	Gadmor_bat	Gadmor_bat	NA
Gadmor_bat_spc_2	Gadmor_bat	Gadmor_bat	NA
Gadmor_bor_spc_1	Gadmor_bor	Gadmor_bor	NA
Gadmor_bor_spc_2	Gadmor_bor	Gadmor_bor	NA
Gadmor_icc_spc_1	Gadmor_icc	Gadmor_icc	NA
Gadmor_icc_spc_2	Gadmor_icc	Gadmor_icc	NA
Gadmor_ico_spc_1	Gadmor_ico	Gadmor_ico	NA
Gadmor_ico_spc_2	Gadmor_ico	Gadmor_ico	NA
Gadmor_kie_spc_1	Gadmor_kie	Gadmor_kie	NA
Gadmor_kie_spc_2	Gadmor_kie	Gadmor_kie	NA
Gadmor_lfc_spc_1	Gadmor_lfc	Gadmor_lfc	NA
Gadmor_lfc_spc_2	Gadmor_lfc	Gadmor_lfc	NA
Gadmor_lfo_spc_1	Gadmor_lfo	Gadmor_lfo	NA
Gadmor_lfo_spc_2	Gadmor_lfo	Gadmor_lfo	NA
Gadmor_low_spc_1	Gadmor_low	Gadmor_low	NA
Gadmor_low_spc_2	Gadmor_low	Gadmor_low	NA
Gadmor_twc_spc_1	Gadmor_twc	Gadmor_twc	NA
Gadmor_twc_spc_2	Gadmor_twc	Gadmor_twc	NA
Gadmor_two_spc_1	Gadmor_two	Gadmor_two	NA
Gadmor_two_spc_2	Gadmor_two	Gadmor_two	NA
