sample	population	group	sex
Gadmor_avc1	Gadmor_avc	Gadmor_avc	NA
Gadmor_avc2	Gadmor_avc	Gadmor_avc	NA
Gadmor_avo1	Gadmor_avo	Gadmor_avo	NA
Gadmor_avo2	Gadmor_avo	Gadmor_avo	NA
Gadmor_bat1	Gadmor_bat	Gadmor_bat	NA
Gadmor_bat2	Gadmor_bat	Gadmor_bat	NA
Gadmor_bor1	Gadmor_bor	Gadmor_bor	NA
Gadmor_bor2	Gadmor_bor	Gadmor_bor	NA
Gadmor_icc1	Gadmor_icc	Gadmor_icc	NA
Gadmor_ico1	Gadmor_ico	Gadmor_ico	NA
Gadmor_ico2	Gadmor_ico	Gadmor_ico	NA
Gadmor_kie1	Gadmor_kie	Gadmor_kie	NA
Gadmor_kie2	Gadmor_kie	Gadmor_kie	NA
Gadmor_lfc1	Gadmor_lfc	Gadmor_lfc	NA
Gadmor_lfc2	Gadmor_lfc	Gadmor_lfc	NA
Gadmor_lfc3	Gadmor_lfc	Gadmor_lfc	NA
Gadmor_lfo1	Gadmor_lfo	Gadmor_lfo	NA
Gadmor_lfo3	Gadmor_lfo	Gadmor_lfo	NA
Gadmor_low1	Gadmor_low	Gadmor_low	NA
Gadmor_low2	Gadmor_low	Gadmor_low	NA
Gadmor_twc1	Gadmor_twc	Gadmor_twc	NA
Gadmor_twc2	Gadmor_twc	Gadmor_twc	NA
Gadmor_two1	Gadmor_two	Gadmor_two	NA
Gadmor_two2	Gadmor_two	Gadmor_two	NA
