lg	from	to
lg01	0	1
lg01	1	2
lg01	2	3
lg01	3	4
lg01	4	5
lg01	5	6
lg01	6	7
lg01	7	8
lg01	8	9
lg01	9	10
lg01	10	11
lg01	11	12
lg01	12	13
lg01	13	14
lg01	14	15
lg01	15	16
lg01	16	17
lg01	17	18
lg01	18	19
lg01	19	20
lg01	20	21
lg01	21	22
lg01	22	23
lg01	23	24
lg01	24	25
lg01	25	26
lg01	26	27
lg01	27	28
lg01	28	29
lg02	0	1
lg02	1	2
lg02	2	3
lg02	3	4
lg02	4	5
lg02	5	6
lg02	6	7
lg02	7	8
lg02	8	9
lg02	9	10
lg02	10	11
lg02	11	12
lg02	12	13
lg02	13	14
lg02	14	15
lg02	15	16
lg02	16	17
lg02	17	18
lg02	18	19
lg02	19	20
lg02	20	21
lg02	21	22
lg02	22	23
lg02	23	24
lg02	24	25
lg03	0	1
lg03	1	2
lg03	2	3
lg03	3	4
lg03	4	5
lg03	5	6
lg03	6	7
lg03	7	8
lg03	8	9
lg03	9	10
lg03	10	11
lg03	11	12
lg03	12	13
lg03	13	14
lg03	14	15
lg03	15	16
lg03	16	17
lg03	17	18
lg03	18	19
lg03	19	20
lg03	20	21
lg03	21	22
lg03	22	23
lg03	23	24
lg03	24	25
lg03	25	26
lg03	26	27
lg03	27	28
lg03	28	29
lg03	29	30
lg04	0	1
lg04	1	2
lg04	2	3
lg04	3	4
lg04	4	5
lg04	5	6
lg04	6	7
lg04	7	8
lg04	8	9
lg04	9	10
lg04	10	11
lg04	11	12
lg04	12	13
lg04	13	14
lg04	14	15
lg04	15	16
lg04	16	17
lg04	17	18
lg04	18	19
lg04	19	20
lg04	20	21
lg04	21	22
lg04	22	23
lg04	23	24
lg04	24	25
lg04	25	26
lg04	26	27
lg04	27	28
lg04	28	29
lg04	29	30
lg04	30	31
lg04	31	32
lg04	32	33
lg04	33	34
lg04	34	35
lg05	0	1
lg05	1	2
lg05	2	3
lg05	3	4
lg05	4	5
lg05	5	6
lg05	6	7
lg05	7	8
lg05	8	9
lg05	9	10
lg05	10	11
lg05	11	12
lg05	12	13
lg05	13	14
lg05	14	15
lg05	15	16
lg05	16	17
lg05	17	18
lg05	18	19
lg05	19	20
lg05	20	21
lg05	21	22
lg05	22	23
lg05	23	24
lg05	24	25
lg06	0	1
lg06	1	2
lg06	2	3
lg06	3	4
lg06	4	5
lg06	5	6
lg06	6	7
lg06	7	8
lg06	8	9
lg06	9	10
lg06	10	11
lg06	11	12
lg06	12	13
