study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJNA301002	SAMN04229063	SRS1153634	SRX1420322	SRR2906171	8052	Gadus ogac	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/001/SRR2906171/SRR2906171_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/001/SRR2906171/SRR2906171_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/001/SRR2906171/SRR2906171_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/001/SRR2906171/SRR2906171_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR290/001/SRR2906171	ftp.sra.ebi.ac.uk/vol1/srr/SRR290/001/SRR2906171		
PRJNA301002	SAMN04229064	SRS1153633	SRX1420323	SRR2906172	44932	Boreogadus saida	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/002/SRR2906172/SRR2906172_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/002/SRR2906172/SRR2906172_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/002/SRR2906172/SRR2906172_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/002/SRR2906172/SRR2906172_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR290/002/SRR2906172	ftp.sra.ebi.ac.uk/vol1/srr/SRR290/002/SRR2906172		
PRJNA301002	SAMN04229065	SRS1153632	SRX1420324	SRR2906173	8049	Gadus morhua	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/003/SRR2906173/SRR2906173_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/003/SRR2906173/SRR2906173_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/003/SRR2906173/SRR2906173_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/003/SRR2906173/SRR2906173_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR290/003/SRR2906173	ftp.sra.ebi.ac.uk/vol1/srr/SRR290/003/SRR2906173		
PRJNA301002	SAMN04229066	SRS1153631	SRX1420325	SRR2906174	44932	Boreogadus saida	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/004/SRR2906174/SRR2906174_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/004/SRR2906174/SRR2906174_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/004/SRR2906174/SRR2906174_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/004/SRR2906174/SRR2906174_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR290/004/SRR2906174	ftp.sra.ebi.ac.uk/vol1/srr/SRR290/004/SRR2906174		
PRJNA301002	SAMN04229067	SRS1153630	SRX1420326	SRR2906175	8049	Gadus morhua	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/005/SRR2906175/SRR2906175_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/005/SRR2906175/SRR2906175_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/005/SRR2906175/SRR2906175_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/005/SRR2906175/SRR2906175_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR290/005/SRR2906175	ftp.sra.ebi.ac.uk/vol1/srr/SRR290/005/SRR2906175		
PRJNA301002	SAMN04229068	SRS1153629	SRX1420327	SRR2906176	8049	Gadus morhua	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/006/SRR2906176/SRR2906176_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/006/SRR2906176/SRR2906176_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/006/SRR2906176/SRR2906176_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/006/SRR2906176/SRR2906176_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR290/006/SRR2906176	ftp.sra.ebi.ac.uk/vol1/srr/SRR290/006/SRR2906176		
PRJNA301002	SAMN04229069	SRS1153628	SRX1420328	SRR2906177	44932	Boreogadus saida	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/007/SRR2906177/SRR2906177_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/007/SRR2906177/SRR2906177_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/007/SRR2906177/SRR2906177_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/007/SRR2906177/SRR2906177_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR290/007/SRR2906177	ftp.sra.ebi.ac.uk/vol1/srr/SRR290/007/SRR2906177		
PRJNA301002	SAMN04229070	SRS1153627	SRX1420329	SRR2906178	44932	Boreogadus saida	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/008/SRR2906178/SRR2906178_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/008/SRR2906178/SRR2906178_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/008/SRR2906178/SRR2906178_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/008/SRR2906178/SRR2906178_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR290/008/SRR2906178	ftp.sra.ebi.ac.uk/vol1/srr/SRR290/008/SRR2906178		
PRJNA301002	SAMN04229071	SRS1153626	SRX1420330	SRR2906179	8049	Gadus morhua	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/009/SRR2906179/SRR2906179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/009/SRR2906179/SRR2906179_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/009/SRR2906179/SRR2906179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/009/SRR2906179/SRR2906179_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR290/009/SRR2906179	ftp.sra.ebi.ac.uk/vol1/srr/SRR290/009/SRR2906179		
PRJNA301002	SAMN04229072	SRS1153625	SRX1420331	SRR2906180	8049	Gadus morhua	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/000/SRR2906180/SRR2906180_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/000/SRR2906180/SRR2906180_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/000/SRR2906180/SRR2906180_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/000/SRR2906180/SRR2906180_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR290/000/SRR2906180	ftp.sra.ebi.ac.uk/vol1/srr/SRR290/000/SRR2906180		
