danrer_gene_id	danrer_transcript_id	number_of_exons	astmex_gene_id	danrer_gene_id	gadmor_gene_id	gasacu_gene_id	orenil_gene_id	orylat_gene_id	poefor_gene_id	takrub_gene_id
ENSDARG00000000476	ENSDART00000002053	5	ENSAMXG00000018711	ENSDARG00000000476	ENSGMOG00000012641	ENSGACG00000002634	ENSONIG00000007164	ENSORLG00000015090	ENSPFOG00000011839	ENSTRUG00000012846	
ENSDARG00000000853	ENSDART00000067637	5	ENSAMXG00000008766	ENSDARG00000000853	ENSGMOG00000008071	ENSGACG00000001063	ENSONIG00000018928	ENSORLG00000000219	ENSPFOG00000002175	ENSTRUG00000009348	
ENSDARG00000000861	ENSDART00000074212	7	ENSAMXG00000018369	ENSDARG00000000861	ENSGMOG00000006464	ENSGACG00000004725	ENSONIG00000006252	ENSORLG00000012302	ENSPFOG00000019196	ENSTRUG00000005856	
ENSDARG00000001129	ENSDART00000045881	13	ENSAMXG00000010730	ENSDARG00000001129	ENSGMOG00000006057	ENSGACG00000020134	ENSONIG00000010424	ENSORLG00000011022	ENSPFOG00000008531	ENSTRUG00000006156	
ENSDARG00000001897	ENSDART00000004780	5	ENSAMXG00000012012	ENSDARG00000001897	ENSGMOG00000006591	ENSGACG00000000228	ENSONIG00000000405	ENSORLG00000020068	ENSPFOG00000013705	ENSTRUG00000010840	
ENSDARG00000002213	ENSDART00000015688	8	ENSAMXG00000020888	ENSDARG00000002213	ENSGMOG00000014543	ENSGACG00000009056	ENSONIG00000006042	ENSORLG00000008786		ENSTRUG00000010952	
ENSDARG00000002487	ENSDART00000028043	5	ENSAMXG00000004967	ENSDARG00000002487	ENSGMOG00000007458	ENSGACG00000010335	ENSONIG00000019138	ENSORLG00000019410	ENSPFOG00000000761	ENSTRUG00000003582	
ENSDARG00000002952	ENSDART00000005985	5	ENSAMXG00000009489	ENSDARG00000002952	ENSGMOG00000015883	ENSGACG00000019702	ENSONIG00000011655	ENSORLG00000014357	ENSPFOG00000003906	ENSTRUG00000016137	
ENSDARG00000002991	ENSDART00000033436	6	ENSAMXG00000005502	ENSDARG00000002991	ENSGMOG00000018777	ENSGACG00000014325	ENSONIG00000002931	ENSORLG00000000659	ENSPFOG00000017055	ENSTRUG00000015615	
ENSDARG00000003189	ENSDART00000007346	7	ENSAMXG00000001344	ENSDARG00000003189	ENSGMOG00000005954	ENSGACG00000009208	ENSONIG00000002599	ENSORLG00000007518	ENSPFOG00000024818	ENSTRUG00000017396	
ENSDARG00000003205	ENSDART00000019206	6	ENSAMXG00000010851	ENSDARG00000003205	ENSGMOG00000009893	ENSGACG00000008024		ENSORLG00000008647	ENSPFOG00000007204	ENSTRUG00000006814	
ENSDARG00000003495	ENSDART00000047208	12	ENSAMXG00000006269	ENSDARG00000003495	ENSGMOG00000005341	ENSGACG00000017165	ENSONIG00000005841	ENSORLG00000001259	ENSPFOG00000003955	ENSTRUG00000016367	
ENSDARG00000003750	ENSDART00000012581	7	ENSAMXG00000005220	ENSDARG00000003750	ENSGMOG00000015735		ENSONIG00000002695	ENSORLG00000014791	ENSPFOG00000013342	ENSTRUG00000018433	
ENSDARG00000003984	ENSDART00000022170	14	ENSAMXG00000010450	ENSDARG00000003984	ENSGMOG00000000609	ENSGACG00000020603	ENSONIG00000004790	ENSORLG00000004903	ENSPFOG00000024707	ENSTRUG00000005277	
ENSDARG00000004055	ENSDART00000046871	5	ENSAMXG00000015887	ENSDARG00000004055	ENSGMOG00000009349	ENSGACG00000019845	ENSONIG00000011416	ENSORLG00000015538	ENSPFOG00000011679	ENSTRUG00000012937	
ENSDARG00000004105	ENSDART00000003701	6	ENSAMXG00000011333	ENSDARG00000004105	ENSGMOG00000009842	ENSGACG00000006730	ENSONIG00000008859	ENSORLG00000010699	ENSPFOG00000005742	ENSTRUG00000018474	
ENSDARG00000004131	ENSDART00000006930	11	ENSAMXG00000019855	ENSDARG00000004131	ENSGMOG00000006072	ENSGACG00000002700	ENSONIG00000014326	ENSORLG00000007819	ENSPFOG00000013568	ENSTRUG00000005037	
ENSDARG00000004132	ENSDART00000112840	8	ENSAMXG00000013109	ENSDARG00000004132	ENSGMOG00000018066	ENSGACG00000004155	ENSONIG00000001579	ENSORLG00000001685	ENSPFOG00000019469	ENSTRUG00000004736	
ENSDARG00000004173	ENSDART00000048277	8	ENSAMXG00000006369	ENSDARG00000004173	ENSGMOG00000018593	ENSGACG00000017751	ENSONIG00000015174	ENSORLG00000002857	ENSPFOG00000012212	ENSTRUG00000010198	
ENSDARG00000004302	ENSDART00000043016	6	ENSAMXG00000003744	ENSDARG00000004302	ENSGMOG00000001985	ENSGACG00000007531	ENSONIG00000004049	ENSORLG00000004200	ENSPFOG00000014195	ENSTRUG00000014948	
ENSDARG00000005058	ENSDART00000113351	7	ENSAMXG00000014774	ENSDARG00000005058	ENSGMOG00000010393	ENSGACG00000010292	ENSONIG00000012903	ENSORLG00000012197	ENSPFOG00000013227	ENSTRUG00000003105	
ENSDARG00000005236	ENSDART00000153426	10	ENSAMXG00000008764	ENSDARG00000005236	ENSGMOG00000003379	ENSGACG00000004035	ENSONIG00000018197	ENSORLG00000012491	ENSPFOG00000018261	ENSTRUG00000011632	
ENSDARG00000005462	ENSDART00000026178	5	ENSAMXG00000020300	ENSDARG00000005462	ENSGMOG00000010886	ENSGACG00000020289	ENSONIG00000001791	ENSORLG00000010554	ENSPFOG00000019046	ENSTRUG00000004160	
ENSDARG00000005980	ENSDART00000141809	5	ENSAMXG00000008657	ENSDARG00000005980	ENSGMOG00000009205	ENSGACG00000017647	ENSONIG00000003757	ENSORLG00000010983	ENSPFOG00000019657	ENSTRUG00000000084	
ENSDARG00000006169	ENSDART00000027174	19	ENSAMXG00000017727	ENSDARG00000006169	ENSGMOG00000016854	ENSGACG00000009572	ENSONIG00000003823	ENSORLG00000019951	ENSPFOG00000011381	ENSTRUG00000012119	
ENSDARG00000006963	ENSDART00000013203	5	ENSAMXG00000016416	ENSDARG00000006963	ENSGMOG00000007944	ENSGACG00000000963	ENSONIG00000018970	ENSORLG00000000603	ENSPFOG00000001989	ENSTRUG00000005496	
ENSDARG00000007092	ENSDART00000011780	6	ENSAMXG00000017600	ENSDARG00000007092	ENSGMOG00000009239	ENSGACG00000009978	ENSONIG00000001695	ENSORLG00000006076	ENSPFOG00000001172	ENSTRUG00000002401	
ENSDARG00000007398	ENSDART00000029668	10	ENSAMXG00000002705	ENSDARG00000007398	ENSGMOG00000015361	ENSGACG00000014066	ENSONIG00000005479	ENSORLG00000019481	ENSPFOG00000009664	ENSTRUG00000002810	
ENSDARG00000007465	ENSDART00000152878	5	ENSAMXG00000015146	ENSDARG00000007465	ENSGMOG00000016797	ENSGACG00000006590	ENSONIG00000016382	ENSORLG00000004833	ENSPFOG00000002145	ENSTRUG00000012142	
ENSDARG00000007523	ENSDART00000066903	8	ENSAMXG00000006334	ENSDARG00000007523	ENSGMOG00000003289	ENSGACG00000019979	ENSONIG00000000097	ENSORLG00000015936	ENSPFOG00000016278	ENSTRUG00000015634	
ENSDARG00000007744	ENSDART00000052645	5	ENSAMXG00000008470	ENSDARG00000007744	ENSGMOG00000010336	ENSGACG00000010843	ENSONIG00000013131	ENSORLG00000004926	ENSPFOG00000004483	ENSTRUG00000004665	
ENSDARG00000007901	ENSDART00000112689	7	ENSAMXG00000018334	ENSDARG00000007901	ENSGMOG00000007609	ENSGACG00000011852	ENSONIG00000018728	ENSORLG00000017240	ENSPFOG00000005102	ENSTRUG00000015417	
ENSDARG00000008224	ENSDART00000016105	6	ENSAMXG00000018517	ENSDARG00000008224	ENSGMOG00000008581	ENSGACG00000014193	ENSONIG00000005417	ENSORLG00000020275	ENSPFOG00000007259	ENSTRUG00000001105	
ENSDARG00000008238	ENSDART00000079310	6	ENSAMXG00000017071	ENSDARG00000008238	ENSGMOG00000013024	ENSGACG00000004987	ENSONIG00000000456	ENSORLG00000018166	ENSPFOG00000008206	ENSTRUG00000009418	
